,Recipe_name,Protein,Carbs,Fat
1046,Baked Sweet Potatoes with Spiced Lentil Salad & Lemon Tahini Dressing,98.97 g,347.21 g,116.32 g
1047,Pistachio Gelato,0.48 g,75.19 g,155.03 g
1048,Japanese Tabbouleh with Cilantro & Tofu,57.81 g,24.75 g,42.47 g
1049,Dairy-Free Spinach Stuffed Shells,156.82 g,426.75 g,85.12 g
1050,Greek Potato Salad,49.15 g,416.81 g,110.81 g
1051,West Coast Avocado Toast,15.07 g,42.1 g,21.11 g
1052,Cook the Book: Brussels Sprout-Potato Hash,18.46 g,110.8 g,10.42 g
1053,Red Lentil Dhal,93.79 g,232.77 g,13.92 g
1054,Chilled spicy tahini noodle bowl,147.05 g,367.86 g,120.65 g
1055,Stuffed pumpkin,45.99 g,241.59 g,104.45 g
1056,Chickpea & roasted parsnip curry,80.48 g,352.46 g,142.46 g
1057,Charred Green Beans with Mustard Vinaigrette & Hazelnuts,13.8 g,38.34 g,62.36 g
1058,Summer Vegetable Tian,11.57 g,52.41 g,74.19 g
1059,Maple Walnut Banana Bread,19.51 g,192.39 g,49.08 g
1060,Mushroom Quinoa Soup,32.24 g,133.05 g,34.29 g
1061,My children love beet salad!,20.11 g,92.55 g,50.04 g
1062,Egyptian courgettes with dukkah sprinkle,61.46 g,188.94 g,43.4 g
1063,Cream of Cashew Pea Soup,84.33 g,232.63 g,196.13 g
1064,Banana “Ice Cream”,5.11 g,106.25 g,1.93 g
1065,Peach Pie Ice Cream,14.16 g,188.15 g,45.56 g
1066,Cider & Honey Kohlrabi Slaw with Radicchio,11.24 g,94.37 g,47.86 g
1067,Pumpkin Seed Dip,222.79 g,307.84 g,1042.73 g
1068,Lentil ragu with courgetti,147.6 g,431.43 g,42.09 g
1069,Indian Spiced Broccoli and Potato Hash,9.39 g,47.36 g,10.47 g
1070,Eggplant Pide (or Eggplant Boats),87.94 g,350.33 g,36.43 g
1071,Jambalaya,109.58 g,533.45 g,39.66 g
1072,Curried Millet with Chickpeas and Currants,43.83 g,222.77 g,55.67 g
1073,Spaghetti puttanesca with red beans & spinach,34.11 g,141.84 g,20.31 g
1074,"Chilaquiles With Pepitas, Charred Corn, and Black Beans Recipe",73.23 g,371.82 g,160.37 g
1075,Pumpkin Maple Milkshake,1.87 g,21.6 g,4.41 g
1076,Tofu Jerky,73.15 g,29.96 g,40.14 g
1077,Carrot Cake Bites,33.15 g,320.19 g,189.16 g
1078,Vegetarian Jambalaya,110.18 g,519.84 g,39.84 g
1079,"Roast Chicken Dinner Potato Chips With Mushrooms, Lemon, and Thyme Recipe",24.46 g,16.85 g,1.91 g
1080,Zucchini Curry,27.75 g,90.49 g,123.34 g
1081,Hearty lentil one pot,84.58 g,333.89 g,48.88 g
1082,Mom's Favorite Blueberry-Bran Muffins,32.27 g,312.66 g,80.36 g
1083,Creamy Instant Pot Coconut Red Lentils,122.43 g,334.72 g,54.58 g
1084,Quinoa Bowl With Tahini Dressing,67.06 g,209.97 g,112.65 g
1085,Lentil lasagne,128.98 g,425.86 g,24.86 g
1086,Spiced mushroom & lentil hotpot,211.12 g,617.15 g,37.22 g
1087,Roasted Vegetable & Black Bean Tacos,19.25 g,94.02 g,28.49 g
1088,Pumpkin curry with chickpeas,46.43 g,174.03 g,112.36 g
1089,Cook the Book: Lentil and Eggplant Chili Mole,67.53 g,234.06 g,14.49 g
1090,"Spinach, sweet potato & lentil dhal",73.66 g,251.11 g,18.46 g
1091,"Crispy Potato, Onion, and Mushroom Rösti Recipe",12.68 g,80.54 g,68.43 g
1092,Carrot Dog Pigs in a Blanket,27.61 g,150.93 g,9.46 g
1093,Mung Dal shorba (mung dal soup),9.88 g,25.24 g,76.3 g
1094,Quinoa Chickpea Salad with Roasted Red Pepper Hummus Dressing,26.62 g,89.01 g,9.54 g
1095,Stuffed Mediterranean Baked Potato,45.76 g,218.21 g,22.86 g
1096,Homemade Seitan,253.43 g,128.26 g,12.5 g
1097,Tastiest Miso Soup,43.75 g,124.7 g,46.01 g
1098,Black Bean Corn Avocado Salsa,46.41 g,182.86 g,145.78 g
1099,Spinach with Pine Nuts and Raisins,37.77 g,162.01 g,62.19 g
1100,Pasta with Broccoli Pesto,82.43 g,393.15 g,60.18 g
1101,"Squash, Kale, and Wild Rice Pilaf",38.08 g,199.4 g,27.49 g
1102,Sesame parsnip & wild rice tabbouleh,40.07 g,233.5 g,72.6 g
1103,"Cabbage, Bean and Crispy Cale Soup",95.38 g,399.58 g,45.6 g
1104,Creamy Matcha White Chocolate Pudding,13.22 g,81.76 g,47.48 g
1105,Strawberry Nice Cream,5.66 g,89.79 g,2.18 g
1106,"Chickpea, tomato & spinach curry",79.3 g,242.05 g,65.03 g
1107,Avocado Pesto Pasta,31.84 g,118.21 g,296.65 g
1108,Chole Masala,48.03 g,168.93 g,27.82 g
1109,Asian Eggplant Stir fry,15.96 g,120.62 g,15.11 g
1110,Quinoa Chili,89.06 g,298.89 g,14.26 g
1111,Mushroom Tacos with Charred-Corn Salsa,31.89 g,162.99 g,116.81 g
1112,Thai-Scented Asparagus Soup,39.86 g,85.84 g,109.29 g
1113,General Tso's Cauliflower,26.4 g,58.48 g,52.18 g
1114,Brown Rice Risotto with Mushrooms,42.67 g,384.54 g,95.64 g
1115,Sweet Potato Chickpea Curry,52.71 g,195.01 g,46.65 g
1116,Choc-cherry fudge torte with cherry sorbet,62.73 g,1054.37 g,159.57 g
1117,Hearty White Bean and Spinach Soup with Rosemary and Garlic Recipe,38.21 g,121.5 g,56.68 g
1118,"Cucumber, Shallot, and Tomato Salad",5.57 g,39.21 g,14.3 g
1119,Recipe: Curried Cauliflower Chowder,30.01 g,134.87 g,86.19 g
1120,Corn & split pea chowder,76.4 g,287.4 g,27.47 g
1121,Pumpkin Pie Nice Cream,9.86 g,168.39 g,3.01 g
1122,Warm Farro with Mushrooms and Crispy Beets,32.67 g,143.15 g,30.32 g
1123,Tofu Cashew Noodles With Snow Peas,132.93 g,276.79 g,137.04 g
1124,Cannellini Bean & Roasted Red Pepper Sandwich,88.04 g,263.7 g,20.91 g
1125,Spicy Pineapple and Tequila Sorbet Recipe,5.46 g,326.46 g,1.24 g
1126,Ají (Colombian-Style Tomato and Onion Salsa) Recipe,2.92 g,12.61 g,0.63 g
1127,Smoked Cauliflower Soup,49.78 g,134.47 g,17.29 g
1128,No-Cook Black Bean Salad,44.49 g,159.15 g,61.72 g
1129,Buffalo-Style Quinoa Chili,39.63 g,187.22 g,25.32 g
1130,Seitan & black bean stir-fry,119.84 g,191.43 g,53.95 g
1131,Kadala curry,73.23 g,254.76 g,89.89 g
1132,Greek Salad Wraps,62.05 g,275.99 g,93.62 g
1133,Cauliflower curry,26.67 g,98.4 g,82.57 g
1134,Savory Tempeh Crumbles,43.86 g,24.95 g,34.17 g
1135,Thai-Style Chopped Salad with Sriracha Tofu,73.37 g,51.78 g,97.29 g
1136,Steamed Jackfruit Buns,32.97 g,516.13 g,79.82 g
1137,Roasted Sweet Potato Salad,18.94 g,150.93 g,49.5 g
1138,Spiced aubergine bake,45.99 g,265.59 g,132.97 g
1139,Raw Kale Salad With Honey Apple Cider Vinaigrette,14.09 g,68.15 g,77.95 g
1140,Cook the Book: Bengali Squash with Chickpeas,19.96 g,116.01 g,49.17 g
1141,Sri Lankan runner bean curry,34.33 g,107.96 g,119.4 g
1142,"Ajo Blanco (Spanish Chilled ""White Gazpacho"" Bread and Almond Soup) Recipe",43.39 g,90.72 g,95.4 g
1143,Chickpea patties,55.28 g,157.14 g,36.8 g
1144,Twice-Roasted Miniature Pumpkins with Onions and Thyme,31.28 g,151.92 g,57.22 g
1145,Raw hazelnut brownies with chocolate ganache,64.45 g,516.22 g,181.61 g
1146,Miso Ramen with Roasted Vegetables,103.59 g,601.06 g,169.47 g
1147,Curried Potato and Carrot Soup Recipe,42.88 g,322.28 g,109.06 g
1148,Roasted Cauliflower with Tahini and Goji Berries Recipe,17.46 g,53.43 g,37.31 g
1149,Thai Curry Ice Cream,18.6 g,248.87 g,156.02 g
1150,Butternut Squash and Black Bean Tacos,49.82 g,230.23 g,66.95 g
1151,Quinoa Black Bean Summer Salad with Tahini Dressing,118.34 g,461.48 g,66.81 g
1152,Spicy Beet and Spinach Stir-Fry Over Sesame Rice,22.09 g,186.31 g,39.09 g
1153,Sticky noodles with homemade hoisin,28.65 g,123.53 g,25.96 g
1154,Coconut curry noodle bowl,109.71 g,374.79 g,157.21 g
1155,"Roasted cauliflower, tomato and chickpea bowl",73.87 g,345.96 g,60.67 g
1156,Teriyaki Tofu Summer Rolls,71.8 g,259.72 g,28.1 g
1157,Kisir,42.33 g,270.29 g,107.38 g
1158,Black Bean Burgers,77.08 g,309.03 g,45.43 g
1159,Thai Zucchini-Coconut Soup,14.83 g,79.0 g,57.34 g
1160,Press-In Gluten-Free Pie Crust,36.74 g,100.91 g,130.56 g
1161,Spice-crusted tofu with kumquat radish salad,49.48 g,66.44 g,56.12 g
1162,Cauliflower + Red Lentil Curry,71.24 g,193.75 g,117.33 g
1163,Indian Saag with Chickpeas,84.13 g,249.24 g,57.59 g
1164,Lots O'Laksa (Malaysian-Style Chicken Soup),153.7 g,174.14 g,182.31 g
1165,Balsamic Mushroom Pasta,69.05 g,225.51 g,60.5 g
1166,Healthy & Delicious: Herb-Scalloped Potatoes Recipe,44.55 g,169.93 g,17.37 g
1167,Moroccan Pumpkin and Chickpea Stew,13.47 g,63.18 g,4.32 g
1168,Marshmallow Cream,71.91 g,730.58 g,0.09 g
1169,Sweet Potato Hash Stuffed Portobello Mushrooms,25.75 g,112.86 g,81.42 g
1170,Pickled Red Onions,3.43 g,38.47 g,0.31 g
1171,"Potato, Asparagus & Mushroom Hash",25.67 g,131.88 g,43.33 g
1172,Pasta With Braised Broccoli and Tomato Recipe,99.53 g,467.16 g,68.61 g
1173,German American Potato Salad,30.46 g,213.44 g,110.53 g
1174,Chocolate Icebox Cake,66.39 g,297.87 g,259.06 g
1175,Lentil Burgers,99.48 g,315.18 g,31.22 g
1176,"Summer Quinoa Salad, Mexican-Style",34.44 g,181.0 g,48.88 g
1177,Kale and Potato Mash with Romesco Sauce,31.94 g,198.87 g,30.33 g
1178,Creamy Ginger-Asparagus Soup,15.29 g,60.62 g,81.98 g
1179,"Sweet Potato, Kale & Chicken Salad with Peanut Dressing",126.37 g,117.56 g,71.8 g
1180,Whipped Frozen Pink Lemonade,6.45 g,137.75 g,48.82 g
1181,Buddha bowl with grilled tofu and gluten-free white beer,91.78 g,255.89 g,70.28 g
1182,Stewed Chickpeas and Chard over Garlic Toast,59.12 g,224.37 g,60.29 g
1183,Tuscan white beans w/ roasted vegetables,149.35 g,411.98 g,43.73 g
1184,"Tamari Roasted ""Crack"" Almonds",64.31 g,63.69 g,142.94 g
1185,Chia Chipotle Dressing From 'Salad Samurai',3.5 g,34.27 g,31.23 g
1186,Squash Risotto,59.38 g,209.97 g,32.81 g
1187,Hippie Loaf,44.17 g,172.18 g,17.81 g
1188,"Carrot and Rye Berry Salad With Celery, Cilantro, and Marcona Almonds Recipe",38.18 g,117.41 g,114.49 g
1189,Smoky Tofu Chili,69.77 g,135.28 g,48.41 g
1190,Quinoa Stuffed Peppers,114.85 g,276.83 g,160.19 g
1191,Gobhi Mussallam,44.76 g,75.01 g,68.9 g
1192,Roasted aloo gobi,36.81 g,175.89 g,66.91 g
1193,Tahini Noodles,97.68 g,440.21 g,72.93 g
1194,Chocolate Coconut Ice Cream Mochi,45.56 g,469.36 g,233.65 g
1195,Rainbow Swiss Chard and Lemon Stir-Fry,29.15 g,167.53 g,51.66 g
1196,'Akara' aka bean or lentil fritters,48.67 g,130.15 g,44.12 g
1197,Braised Winter Vegetable Pasta,59.4 g,297.09 g,35.46 g
1198,Favorite Fall Orzo Salad,50.82 g,207.74 g,89.08 g
1199,Sneaky Collards Recipe,55.67 g,118.96 g,38.34 g
1200,Best veggie stir fry,46.21 g,246.43 g,202.85 g
1201,The Crisper Whisperer: Gingered Butternut Soup Recipe,62.04 g,340.05 g,47.92 g
1202,Tofu Poke,72.95 g,157.18 g,65.14 g
1203,Hummus and Mint Veggie Burgers,75.73 g,270.57 g,86.9 g
1204,Thin Mint Smoothie,5.29 g,44.03 g,10.04 g
1205,Beans and Mushrooms,20.79 g,96.31 g,56.46 g
1206,"Lentil Salad With Cauliflower, Walnuts, and Roasted Orange Vinaigrette Recipe",127.46 g,364.61 g,229.66 g
1207,Quick & Dirty Slow Cooker Vegetarian Chili,98.97 g,331.17 g,43.99 g
1208,Chickpea & Jackfruit Curry,45.55 g,246.68 g,68.46 g
1209,Grilled Tofu with Chimichurri on Toast,91.17 g,111.42 g,160.34 g
1210,Korean Stewed Tofu with a Green Onion Salad and Crisp Bacon,79.06 g,64.73 g,74.17 g
1211,Jackfruit Carnitas,23.56 g,421.86 g,49.12 g
1212,Vegetarian Mushroom Thyme Gravy,14.75 g,67.01 g,72.71 g
1213,Well-Crafted Macaroni and Cheese Mix,127.15 g,164.38 g,70.78 g
1214,Easy Black-Bean Corn Salad,64.0 g,208.35 g,10.35 g
1215,Banana Heavens Little Pig (Spanish Custard Dessert),48.41 g,518.39 g,148.52 g
1216,The Ultimate Raw Taco,9.88 g,40.98 g,30.65 g
1217,Rosemary Alu Paratha (Potato Parathas with Fresh Rosemary),41.76 g,256.51 g,19.4 g
1218,One-Pot Lentils & Rice with Spinach,58.84 g,235.58 g,48.83 g
1219,Toni Fiore's Millet Beet Burger,47.33 g,241.3 g,45.89 g
1220,Smoky Tempeh and Hummus Sandwiches,119.5 g,247.13 g,98.81 g
1221,Mini nut roasts with candied carrots,421.72 g,1636.67 g,267.25 g
1222,Chickpea Cashew Curry,59.38 g,196.66 g,104.83 g
1223,Easy Middle Eastern Fried Tomatoes: Jordanian Galayet Bandora,6.26 g,33.5 g,55.18 g
1224,"Whole-Grain Wraps with Quinoa, Beans, and Roasted Veggies",126.07 g,229.3 g,164.88 g
1225,White Beans with Herbes de Provence,29.17 g,125.36 g,49.62 g
1226,Chickpea Piccata,39.19 g,142.48 g,14.77 g
1227,Recipe: Purple Cauliflower Hummus,3.34 g,19.69 g,67.86 g
1228,Instant Pot Vegetarian Chili,99.51 g,330.95 g,22.49 g
1229,"No-Churn Mango Sherbet (Sorbet, Frozen Yogurt, or Ice Cream!)",7.92 g,125.36 g,6.46 g
1230,Feta Stuffed Eggplant Polpetti,20.16 g,85.67 g,20.56 g
1231,Cinnamon Spiced Nuts,94.41 g,129.09 g,412.23 g
1232,Israeli Couscous Salad,42.92 g,203.37 g,40.93 g
1233,Cranberry Curry and Mint Cashew Butter,9.16 g,16.16 g,41.83 g
1234,Tofu Pesto,49.91 g,68.57 g,242.68 g
1235,"Tofu and Kale Salad With Avocado, Grapefruit, and Miso-Tahini Dressing Recipe",46.85 g,81.27 g,131.61 g
1236,Mediterranean Cabbage Soup,47.06 g,183.94 g,31.28 g
1237,Mother's Day Mexican Veggie Burgers,122.64 g,405.33 g,43.13 g
1238,"Pasta Sauce, Elevated",63.83 g,211.59 g,40.86 g
1239,Jackfruit Barbacoa Burrito Bowls,40.22 g,496.18 g,35.97 g
1240,Spicy Thai Peanut Kelp Noodle Pad Thai,92.67 g,357.52 g,68.86 g
1241,Make-Ahead Zucchini and Quinoa Dill Bisque Recipe,36.29 g,102.42 g,28.8 g
1242,Pearl Couscous Chicken Salad with Roasted Asparagus and Herbs,203.05 g,397.74 g,97.26 g
1243,Slow-Cooker Creamy Butternut Squash-Apple Soup,17.22 g,204.62 g,24.8 g
1244,Potato Salad with Parsley Pesto,24.8 g,160.68 g,133.13 g
1245,Vietnamese Citrus and Noodle Salad With Fresh Herbs and Fried Yuba (Tofu Skin) Recipe,53.49 g,256.92 g,308.86 g
1246,Andrea Nguyen's Saag Soy Paneer,50.48 g,52.34 g,95.34 g
1247,Harvest-Stuffed Portobello Mushrooms,86.71 g,237.42 g,95.53 g
1248,Thai Summer Squash Curry,77.15 g,228.01 g,65.94 g
1249,Stir-Fried Broccoli and Shiitake Mushrooms with Oyster Sauce,23.13 g,64.29 g,31.52 g
1250,Instant Pot Vegetable Soup,45.98 g,152.64 g,31.25 g
1251,Stuffed Portobello Mushroom Caps with Roasted Root Vegetable Risotto,57.13 g,259.37 g,52.6 g
1252,Chickpea Spaghetti With Roasted Vegetables,62.65 g,351.35 g,43.49 g
1253,Gluten-Free Chocolate-Chip Zucchini Bread Squares Recipe,29.52 g,285.85 g,115.17 g
1254,Black Girl Baking is a Journey in Food Memories Told Through the Senses,60.23 g,403.78 g,375.91 g
1255,Homemade Crunchy Nutella Recipe,32.92 g,349.55 g,252.31 g
1256,Tofu Mexicali Scramble Recipe,63.61 g,154.85 g,64.2 g
1257,Green Coconut Zoodle Soup,24.81 g,104.19 g,130.69 g
1258,"Sticky Rice Cake with Coconut, Ginger & Condensed Coconut Milk",56.93 g,434.64 g,324.66 g
1259,Cook the Book: Quinoa with Chimichurri Herbs,27.28 g,135.59 g,51.58 g
1260,Quinoacado Tacos with Charred Corn and Fruit Salsa,42.79 g,258.64 g,86.54 g
1261,Summertime Potluck Puttanesca,80.09 g,424.04 g,125.3 g
1262,The Best Vegetarian Bean Chili Recipe,138.0 g,434.9 g,67.01 g
1263,"Cranberry Orange Cornbread with Orange ""Butter""",43.91 g,543.24 g,123.1 g
1264,Dairy-Free Pumpkin Pie,27.39 g,364.75 g,119.43 g
1265,Autumn Curry with Pumpkin and Chickpeas,121.86 g,507.04 g,158.57 g
1266,'Clean Start': Chewy Chocolate Macaroons Recipe,23.58 g,248.33 g,174.13 g
1267,"Zucchini, Almond, and Mint Soup with Lemony Lentils",70.76 g,141.49 g,112.43 g
1268,Spanish Chickpea Gratin,83.94 g,288.01 g,108.84 g
1269,French in a Flash: Parsnip Purée with Olive Oil and Sage,12.47 g,172.38 g,71.85 g
1270,Easy Walnut Pesto,85.28 g,44.39 g,80.87 g
1271,Country-Style Tomato and Cilantro Broth,0.36 g,1.83 g,0.1 g
1272,Quinoa & Sweet Potato Chili,58.05 g,237.62 g,28.37 g
1273,Quinoa Salad with Roasted Beets and Baby Spinach,76.97 g,301.5 g,97.26 g
1274,Dinner Tonight: Caramelized Tofu with Brussels Sprouts Recipe,29.77 g,57.5 g,74.44 g
1275,Stir-Fried Garlic Eggplant with Ground Pork Recipe,29.35 g,42.31 g,68.44 g
1276,Sweet Potato Cake with Cashew Cream Cheese Frosting,48.54 g,390.74 g,138.94 g
1277,Black Bean Corn Tamales,152.27 g,798.89 g,84.75 g
1278,Pappardelle with Artichoke Chickpea Meatballs,252.44 g,1115.32 g,150.17 g
1279,Curried Cauliflower Soup with Tamarind Glazed Kabocha Squash and Apple,49.51 g,207.1 g,47.15 g
1280,Citrus Ginger Tofu Salad with Buckwheat Soba Noodles,88.65 g,188.32 g,96.04 g
1281,Cook the Book: Coconut Rice with Variations,14.84 g,118.9 g,44.97 g
1282,Maple Hasselback Butternut Squash Recipe,10.25 g,146.75 g,18.23 g
1283,Fresh Tomato Soup,11.49 g,61.53 g,48.05 g
1284,Dinner Tonight: Farro Salad with Roasted Kale and Beets Recipe,104.08 g,384.58 g,73.85 g
1285,Tom Kha Udon Soup With Mushrooms Recipe,134.56 g,719.89 g,87.81 g
1286,Lemon and Saffron Risotto,39.75 g,341.75 g,61.86 g
1287,Vegetarian Butternut Squash Chili with Black Beans,78.55 g,261.64 g,35.03 g
1288,Instant Pot Curry,53.58 g,198.48 g,112.46 g
1289,Sweet Potato Soup with Crispy Tortilla Topping,92.0 g,316.83 g,126.56 g
1290,Edamame Gyoza,72.45 g,357.2 g,30.33 g
1291,Raw Harvest Kale Salad,13.24 g,95.77 g,49.0 g
1292,Rye and Butternut Squash Dressing,93.11 g,546.51 g,72.18 g
1293,Classic Beans and Greens Tacos,102.35 g,375.3 g,101.68 g
1294,Spring Vegetarian Cassoulet,32.57 g,148.59 g,123.4 g
1295,Gluten-Free Tuesday: Allergen-free Chocolate Pumpkin Spice Cake,26.21 g,445.66 g,124.96 g
1296,Vegetarian Slow-Cooker Chili Recipe,57.47 g,182.49 g,20.72 g
1297,Rich Roll's Ultra Meatless Tempeh Loaf,132.02 g,238.22 g,222.53 g
1298,French Toast with Blueberry Compote,58.55 g,366.33 g,222.47 g
1299,Whipped Frozen Creamsicle,5.17 g,46.29 g,24.93 g
1300,Pandan Khanom Chan (Layered Rice Sweets) Recipe,32.01 g,974.19 g,55.15 g
1301,Recipe: Garlicky Soba Noodle Bowls,38.89 g,187.15 g,11.12 g
1302,Basic Chili Paste to Replace Chili Powder Recipe,22.16 g,24.7 g,9.29 g
1303,"Instant Pot Bengali Red Lentil, Potato, Pea, and Cauliflower Risotto",58.03 g,232.18 g,74.27 g
1304,Southwest-Stuffed Sweet Potato Skins,83.88 g,491.68 g,44.65 g
1305,Red Lentil Soup,62.77 g,197.6 g,24.27 g
1306,Vegetarian Gumbo,115.35 g,568.37 g,92.32 g
1307,Slow-Cooker Mediterranean Stew,46.14 g,170.31 g,56.55 g
1308,Tempeh and Eggplant Pot Pies,34.58 g,204.76 g,101.42 g
1309,"Avocado with Pomegranate Molasses, Tomatoes, Citrus, and Basil",11.52 g,57.04 g,57.09 g
1310,Grilled Cauliflower Steaks with Almond Pesto & Butter Beans,111.57 g,303.83 g,116.4 g
1311,French Caramelized Onion Tart,34.83 g,216.01 g,134.76 g
1312,Sri Lankan braised roots stew & coconut dhal dumplings,73.76 g,361.63 g,159.57 g
1313,curried lentils with sweet potatoes.,89.51 g,311.47 g,14.88 g
1314,One-Pot Coconut Milk Curry with Chickpeas,51.92 g,198.04 g,128.18 g
1315,Zucchini-Chickpea Veggie Burgers with Tahini-Ranch Sauce,67.07 g,233.11 g,68.11 g
1316,"Squash, chickpea & coconut curry",61.08 g,278.25 g,160.2 g
1317,"Gardein ""Chicken"" Scaloppini with Shiitake Sake Sauce, Pea Shoots, and Udon Noodle Cakes",34.07 g,155.84 g,189.14 g
1318,Lisa's Delicious 3-Bean Chili,117.41 g,384.6 g,19.06 g
1319,Matcha Mint Chip Ice Cream,15.15 g,165.73 g,147.34 g
1320,Tomato and Farro Minestrone,76.22 g,303.4 g,23.42 g
1321,"Chickpea, Potato, and Spinach Jalfrezi With Cilantro Chutney Recipe",57.59 g,242.68 g,57.44 g
1322,Midtown Greek Salad,57.49 g,93.94 g,130.53 g
1323,Flat-Belly Soup,42.63 g,188.44 g,28.24 g
1324,"Charred Corn, Radish, Jicama, and Green Bean Salad With Lime Dressing Recipe",13.52 g,81.22 g,72.01 g
1325,Vegetarian Ghormeh Sabzi for times of plague,151.41 g,566.8 g,118.61 g
1326,Seitan and Polenta Skillet with Fresh Greens,161.96 g,480.09 g,71.68 g
1327,Strawberry Oat Crumble Bars,46.72 g,547.43 g,158.32 g
1328,Sweet Potato & Spinach Dal,61.47 g,175.5 g,31.64 g
1329,"Roasted Garlic, White Bean & Kale Pizz'alad",81.4 g,351.98 g,63.0 g
1330,Cook the Book: Moroccan-Style Braised Vegetables,47.3 g,150.7 g,40.81 g
1331,Slow-Cooker Vegetarian Tex-Mex Casserole,76.56 g,248.92 g,115.38 g
1332,Greek Style Chickpea soup,99.72 g,335.36 g,145.56 g
1333,Roasted Mediterranean Vegetables with Chickpeas,56.91 g,237.33 g,42.09 g
1334,Potato Cauliflower Chaat (for an American kitchen),50.51 g,311.9 g,83.16 g
1335,Pad Thai Redux,19.72 g,132.77 g,52.76 g
1336,Asian-style Cabbage Slaw w/Tofu and Crunchy Ramen,35.24 g,95.9 g,42.98 g
1337,Roasted-Carrot Salad With Peanut-Sesame Mole Recipe,36.63 g,126.8 g,114.44 g
1338,Mushroom-Tofu-Pecan Stuffed Vegetables,188.05 g,220.59 g,262.31 g
1339,Quinoa with Curried Cauliflower & Potatoes,26.99 g,130.18 g,67.17 g
1340,Low-Carb Portobello Mushroom Fajitas,41.49 g,111.46 g,148.41 g
1341,Healthy and Delicious: Confetti Quinoa Salad Recipe,105.2 g,380.79 g,31.22 g
1342,Pistachio-Crusted Tofu with Red Chimichurri Recipe,69.87 g,99.93 g,149.91 g
1343,Baby Artichokes with Lemon and Olive Oil,90.34 g,307.15 g,220.77 g
1344,"Portobello Mushrooms Stuffed with Spinach, Parmesan and Fennel",88.96 g,74.56 g,105.46 g
1345,Chili Lime Black Bean and Quinoa Salad,75.94 g,358.72 g,75.25 g
1346,Holiday Slow Cooker Veggie Chili,126.44 g,521.3 g,33.18 g
1347,Pumpkin Tiramisu Recipe,62.91 g,1228.6 g,366.25 g
1348,"Carrot, Ginger, and Basil Soup Recipe",35.0 g,62.3 g,18.06 g
1349,Eat for Eight Bucks: Farro and Cauliflower Salad with Currants Recipe,63.82 g,237.21 g,44.88 g
1350,"Healthy and Delicious: Shredded Beet, Apple, and Currant Salad with Apple Vinaigrette Recipe",8.36 g,137.62 g,28.48 g
1351,Versatile Lentil Stew,64.06 g,178.01 g,50.35 g
1352,Spicy Tortilla Crisps with Queso Fundito from 'Salty Snacks',54.74 g,49.59 g,93.59 g
1353,Radishes With Avocado Dip From 'The VB6 Cookbook',19.88 g,71.62 g,42.65 g
1354,Simple Kale Salad,52.89 g,93.69 g,116.43 g
1355,Chickpea and Kale Curry,34.63 g,104.0 g,98.87 g
1356,Meat Lite: Portobello Burgers with Crispy Prosciutto and Arugula Mayo Recipe,85.6 g,123.67 g,87.8 g
1357,Slow-Cooker Vegetarian Chili,53.11 g,279.09 g,7.67 g
1358,Gluten-Free Tuesday: Graham Crackers Recipe,20.99 g,344.46 g,67.13 g
1359,Braised Artichokes With Leeks and Peas From 'The New Vegetarian Cooking for Everyone',50.89 g,224.38 g,53.68 g
1360,Apple Fennel Casserole with a Coconut-Turmeric Twist,5.6 g,46.5 g,18.34 g
1361,Healthy & Delicious: Tabbouleh Salad Recipe,27.75 g,136.96 g,57.17 g
1362,Apricot Kuchen,71.48 g,744.37 g,79.76 g
1363,"'The Food Matters Cookbook': Spicy Fried Rice with Bean Sprouts, Chicken, and Peanuts Recipe",111.5 g,337.99 g,105.43 g
1364,French Lentil and Arugula Salad with Herbed Cashew Cheese,175.8 g,371.72 g,229.85 g
1365,Healthy & Delicious: Greek Orzo Salad Recipe,74.66 g,303.36 g,108.39 g
1366,Sichuan-Style Braised Eggplant With Pickled Chilies and Garlic (Yu Xiang Qie Zi) Recipe,14.06 g,79.82 g,45.68 g
1367,Roasted Strawberry Margaritas with Aquafaba Whip,38.66 g,291.21 g,15.16 g
1368,"Butternut Squash, Kale, and Crunchy Pepitas Taco",41.35 g,123.69 g,102.21 g
1369,Saag Paneer,82.6 g,88.55 g,33.27 g
1370,Kolkata Style Chickpea Rolls,39.57 g,203.13 g,154.75 g
1371,The Occasional Vegetarian's Bibimbap,22.9 g,185.2 g,24.96 g
1372,This Roasted Beet Hummus Recipe Can’t Be Beat,45.83 g,157.32 g,64.12 g
1373,Persian Eggplant Stew // Khoresh Bademjan,27.57 g,188.51 g,59.1 g
1374,Healthy and Delicious: Mexican Potato Soup Recipe,12.18 g,86.8 g,1.45 g
1375,Michael Natkin's Soba Noodles in Shiitake-Shoyu Broth with Spring Vegetables,128.8 g,494.56 g,102.46 g
1376,Shauna James Ahern's Quinoa-Stuffed Peppers,38.4 g,221.84 g,93.74 g
1377,Braised Eggplant With Tofu in Garlic Sauce Recipe,44.86 g,102.6 g,59.6 g
1378,Coconut-Mango Rice Noodle Salad,45.56 g,237.57 g,135.07 g
1379,Blueberry Mug Cake,6.67 g,61.95 g,16.73 g
1380,Recipe: Sesame Ginger Shrimp and Cabbage Stew,173.09 g,219.9 g,75.42 g
1381,Pretzel- and Cashew-Crusted Tofu,124.14 g,587.22 g,98.82 g
1382,Hominy Stew Is Soul-Soothing on a Chilly Fall Morning,136.2 g,62.09 g,373.84 g
